fname	sub	ses	task	dir	run	space	pearson_correlation	nordic_t2_mean	nonordic_t2_mean
sub-24053_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24053	1	bao	AP	01	T1w	0.980409584377991	0.05327531	0.05339673
sub-24053_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24053	1	rat	PA	01	T1w	0.8902901778135365	0.053801693	0.05458028
sub-24630_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24630	1	bao	AP	01	T1w	0.9703313811423161	0.046299655	0.045334294
sub-24630_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24630	1	rat	PA	01	T1w	0.9431803092693101	0.044947434	0.046152927
sub-24663_ses-1_task-bao_acq-VARIANTOblique_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24663	1	bao	AP	01	T1w	0.9039025430772006	0.049218923	0.048302684
sub-24663_ses-1_task-rat_acq-VARIANTOblique_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24663	1	rat	PA	01	T1w	0.9681596189005963	0.048380993	0.048201006
sub-24683_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24683	1	bao	AP	01	T1w	0.9772096784442109	0.044623133	0.044683702
sub-24683_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24683	1	rat	PA	01	T1w	0.9368939229408091	0.045104127	0.04634388
sub-24684_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24684	1	bao	AP	01	T1w	0.9665540023271897	0.05001781	0.050090767
sub-24684_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24684	1	rat	PA	01	T1w	0.9118573339613496	0.049000584	0.050016314
sub-24696_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24696	1	bao	AP	01	T1w	0.984832761810542	0.051818855	0.051908355
sub-24696_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24696	1	rat	PA	01	T1w	0.9575359434004954	0.052958976	0.052286208
sub-24697_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24697	1	bao	AP	01	T1w	0.9442383491157598	0.054028995	0.05557249
sub-24697_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24697	1	rat	PA	01	T1w	0.969600629082463	0.054001454	0.054454222
sub-24699_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24699	1	bao	AP	01	T1w	0.9615394244919833	0.05513209	0.055343695
sub-24699_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24699	1	rat	PA	01	T1w	0.8876080471848523	0.053998467	0.055918206
sub-24702_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24702	1	bao	AP	01	T1w	0.988939108770127	0.044119846	0.044223107
sub-24702_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	24702	1	rat	PA	01	T1w	0.8497693515136171	0.04537455	0.04370716
sub-60295_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	60295	1	bao	AP	01	T1w	0.9057493603534664	0.047156334	0.048971154
sub-60295_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	60295	1	rat	PA	01	T1w	0.9093621497803565	0.049601324	0.04797368
sub-PILOT01_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	PILOT01	1	rat	PA	01	T1w	0.9931027670996442	0.046954554	0.0470225
sub-PILOT01_ses-1_task-rest_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	PILOT01	1	rest	AP	01	T1w	0.9706223157833384	0.047023688	0.0474024
sub-PILOT02_ses-1_task-bao_rec-nordic_dir-AP_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	PILOT02	1	bao	AP	01	T1w	0.9467369868698603	0.04994502	0.050741643
sub-PILOT02_ses-1_task-rat_rec-nordic_dir-PA_run-01_part-mag_space-T1w_desc-brain_mask.nii.gz	PILOT02	1	rat	PA	01	T1w	0.9767542056983385	0.05009771	0.05025903
